timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1708766169582,184,HTTP Request GET SINGLE USER,200,OK,workLoadConfig 1-24,text,true,,1182,96,12,12,https://reqres.in/api/users/2,184,0,86
1708766169649,159,HTTP Request GET SINGLE USER,200,OK,workLoadConfig 1-25,text,true,,1182,96,13,13,https://reqres.in/api/users/2,159,0,85
1708766169389,440,HTTP Request POST,201,Created,workLoadConfig 1-16,text,true,,897,189,13,13,https://reqres.in/api/users,440,0,0
1708766169698,141,HTTP Request GET SINGLE USER,200,OK,workLoadConfig 1-26,text,true,,1182,96,12,12,https://reqres.in/api/users/2,141,0,77
1708766169426,421,HTTP Request POST,201,Created,workLoadConfig 1-17,text,true,,897,189,12,12,https://reqres.in/api/users,421,0,0
1708766169478,413,HTTP Request POST,201,Created,workLoadConfig 1-18,text,true,,897,189,12,12,https://reqres.in/api/users,413,0,0
1708766169749,163,HTTP Request GET SINGLE USER,200,OK,workLoadConfig 1-27,text,true,,1182,96,12,12,https://reqres.in/api/users/2,163,0,94
1708766169799,164,HTTP Request GET SINGLE USER,200,OK,workLoadConfig 1-28,text,true,,1182,96,13,13,https://reqres.in/api/users/2,164,0,86
1708766169585,403,HTTP Request POST,201,Created,workLoadConfig 1-20,text,true,,897,189,13,13,https://reqres.in/api/users,403,0,0
1708766169584,434,HTTP Request POST,201,Created,workLoadConfig 1-19,text,true,,897,189,13,13,https://reqres.in/api/users,434,0,0
1708766169840,400,HTTP Request POST,201,Created,workLoadConfig 1-26,text,true,,897,189,16,16,https://reqres.in/api/users,400,0,0
1708766169767,429,HTTP Request POST,201,Created,workLoadConfig 1-24,text,true,,897,189,15,15,https://reqres.in/api/users,429,0,0
1708766170001,142,HTTP Request GET SINGLE USER,200,OK,workLoadConfig 1-32,text,true,,1182,96,14,14,https://reqres.in/api/users/2,142,0,80
1708766169809,415,HTTP Request POST,201,Created,workLoadConfig 1-25,text,true,,897,189,16,16,https://reqres.in/api/users,415,0,0
1708766169696,420,HTTP Request POST,201,Created,workLoadConfig 1-23,text,true,,897,189,14,14,https://reqres.in/api/users,420,0,0
1708766169949,141,HTTP Request GET SINGLE USER,200,OK,workLoadConfig 1-31,text,true,,1182,96,13,13,https://reqres.in/api/users/2,141,0,72
1708766169663,427,HTTP Request POST,201,Created,workLoadConfig 1-22,text,true,,897,189,13,13,https://reqres.in/api/users,427,0,0
1708766169899,166,HTTP Request GET SINGLE USER,200,OK,workLoadConfig 1-30,text,true,,1182,96,13,13,https://reqres.in/api/users/2,166,0,83
1708766169849,200,HTTP Request GET SINGLE USER,200,OK,workLoadConfig 1-29,text,true,,1182,96,12,12,https://reqres.in/api/users/2,200,0,128
1708766169629,403,HTTP Request POST,201,Created,workLoadConfig 1-21,text,true,,897,189,12,12,https://reqres.in/api/users,403,0,0
1708766170153,175,HTTP Request GET SINGLE USER,200,OK,workLoadConfig 1-35,text,true,,1182,96,12,12,https://reqres.in/api/users/2,175,0,81
